UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20461257     PULS   2180 
     20461259     PULS   2195 
     20461261     PULS   2195 
     20461263     PULS   2195 
     20461265     PULS   2195 
     20461267     PULS   2210 
     20461269     PULS   2225 
     20461271     PULS   2254 
     20461273     PULS   2269 
     20461275     PULS   2284 
     20461277     PULS   2284 
     20461279     PULS   2298 
     20461281     PULS   2313 
     20461283     PULS   2313 
     20461285     PULS   2298 
     20461287     PULS   2313 
     20461289     PULS   2328 
     20461291     PULS   2343 
     20461293     PULS   2357 
     20461295     PULS   2357 
     20461297     PULS   2357 
     20461299     PULS   2357 
     20461301     PULS   2357 
     20461303     PULS   2343 
     20461305     PULS   2343 
     20461307     PULS   2328 
     20461309     PULS   2328 
     20461311     PULS   2328 
     20461313     PULS   2328 
     20461315     PULS   2343 
     20461317     PULS   2328 
     20461319     PULS   2313 
     20461319     PULS   2048  PULS_TRIGGER
     20461321     PULS   2298 
     20461323     PULS   2284 
     20461325     PULS   2269 
     20461327     PULS   2239 
     20461329     PULS   2225 
     20461331     PULS   2210 
     20461333     PULS   2210 
     20461335     PULS   2225 
     20461337     PULS   2239 
     20461339     PULS   2239 
     20461341     PULS   2254 
     20461343     PULS   2284 
     20461345     PULS   2284 
     20461347     PULS   2298 
     20461349     PULS   2284 
     20461351     PULS   2298 
     20461353     PULS   2298 
     20461355     PULS   2284 
     20461357     PULS   2284 
     20461359     PULS   2269 
     20461361     PULS   2269 
     20461363     PULS   2239 
     20461365     PULS   2239 
     20461367     PULS   2225 
     20461369     PULS   2210 
     20461371     PULS   2225 
     20461373     PULS   2225 
     20461375     PULS   2225 
     20461377     PULS   2225 
     20461379     PULS   2225 
     20461381     PULS   2210 
     20461383     PULS   2180 
     20461385     PULS   2180 
     20461387     PULS   2151 
     20461389     PULS   2136 
     20461391     PULS   2121 
     20461393     PULS   2107 
     20461395     PULS   2092 
     20461397     PULS   2077 
     20461399     PULS   2077 
     20461401     PULS   2077 
     20461403     PULS   2062 
     20461413     PULS   2033 
     20461415     PULS   2018 
     20461417     PULS   2003 
     20461419     PULS   1989 
     20461421     PULS   1989 
     20461423     PULS   1959 
     20461425     PULS   1944 
     20461427     PULS   1930 
     20461429     PULS   1915 
     20461431     PULS   1915 
     20461433     PULS   1915 
     20461435     PULS   1930 
     20461437     PULS   1930 
     20461439     PULS   1944 
     20461441     PULS   1959 
     20461443     PULS   1959 
     20461445     PULS   1959 
     20461447     PULS   1959 
     20461449     PULS   1944 
     20461451     PULS   1915 
     20461453     PULS   1900 
     20461455     PULS   1885 
     20461457     PULS   1871 
     20461459     PULS   1856 
     20461461     PULS   1856 
     20461463     PULS   1856 
     20461465     PULS   1856 
     20461467     PULS   1841 
     20461469     PULS   1841 
     20461471     PULS   1841 
