UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 540
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
   198       7         20812642         20812652     0
   198      23         20812642         20812652     0
   198      39         20812642         20812652     0
   198      55         20812642         20812652     0
   198      14         20812667         20812677     0
   198      30         20812667         20812677     0
   198      46         20812667         20812677     0
   198      62         20812667         20812677     0
   198       5         20812692         20812702     0
   198      21         20812692         20812702     0
   198      37         20812692         20812702     0
   198      53         20812692         20812702     0
   198      12         20812717         20812727     0
   198      28         20812717         20812727     0
   198      44         20812717         20812727     0
   198      60         20812717         20812727     0
   198       3         20812742         20812752     0
   198      19         20812742         20812752     0
   198      35         20812742         20812752     0
   198      51         20812742         20812752     0
   198      10         20812767         20812777     0
   198      26         20812767         20812777     0
   198      42         20812767         20812777     0
   198      58         20812767         20812777     0
   198       1         20812792         20812802     0
   198      17         20812792         20812802     0
   198      33         20812792         20812802     0
   198      49         20812792         20812802     0
   198       8         20812817         20812827     0
   198      24         20812817         20812827     0
   198      40         20812817         20812827     0
   198      56         20812817         20812827     0
   198      15         20812842         20812852     0
   198      31         20812842         20812852     0
   198      47         20812842         20812852     0
   198      63         20812842         20812852     0
   198       6         20812867         20812877     0
   198      22         20812867         20812877     0
   198      38         20812867         20812877     0
   198      54         20812867         20812877     0
   198      13         20812892         20812902     0
   198      29         20812892         20812902     0
   198      45         20812892         20812902     0
   198      61         20812892         20812902     0
   198       4         20812917         20812927     0
   198      20         20812917         20812927     0
   198      36         20812917         20812927     0
   198      52         20812917         20812927     0
   198      11         20812942         20812952     0
   198      27         20812942         20812952     0
   198      43         20812942         20812952     0
   198      59         20812942         20812952     0
   198       2         20812967         20812977     0
   198      18         20812967         20812977     0
   198      34         20812967         20812977     0
   198      50         20812967         20812977     0
   198       9         20812992         20813002     0
   198      25         20812992         20813002     0
   198      41         20812992         20813002     0
   198      57         20812992         20813002     0
   199       0         20813017         20813027     0
   199      16         20813017         20813027     0
   199      32         20813017         20813027     0
   199      48         20813017         20813027     0
   199       7         20813042         20813052     0
   199      23         20813042         20813052     0
   199      39         20813042         20813052     0
   199      55         20813042         20813052     0
   199      14         20813067         20813077     0
   199      30         20813067         20813077     0
   199      46         20813067         20813077     0
   199      62         20813067         20813077     0
   199       5         20813092         20813102     0
   199      21         20813092         20813102     0
   199      37         20813092         20813102     0
   199      53         20813092         20813102     0
   199      12         20813117         20813127     0
   199      28         20813117         20813127     0
   199      44         20813117         20813127     0
   199      60         20813117         20813127     0
   199       3         20813142         20813152     0
   199      19         20813142         20813152     0
   199      35         20813142         20813152     0
   199      51         20813142         20813152     0
   199      10         20813167         20813177     0
   199      26         20813167         20813177     0
   199      42         20813167         20813177     0
   199      58         20813167         20813177     0
   199       1         20813192         20813202     0
   199      17         20813192         20813202     0
   199      33         20813192         20813202     0
   199      49         20813192         20813202     0
   199       8         20813217         20813227     0
   199      24         20813217         20813227     0
   199      40         20813217         20813227     0
   199      56         20813217         20813227     0
   199      15         20813242         20813252     0
   199      31         20813242         20813252     0
   199      47         20813242         20813252     0
   199      63         20813242         20813252     0
   199       6         20813267         20813277     0
   199      22         20813267         20813277     0
   199      38         20813267         20813277     0
   199      54         20813267         20813277     0
   199      13         20813292         20813302     0
   199      29         20813292         20813302     0
   199      45         20813292         20813302     0
   199      61         20813292         20813302     0
   199       4         20813317         20813327     0
   199      20         20813317         20813327     0
   199      36         20813317         20813327     0
   199      52         20813317         20813327     0
   199      11         20813342         20813352     0
   199      27         20813342         20813352     0
   199      43         20813342         20813352     0
   199      59         20813342         20813352     0
   199       2         20813367         20813377     0
   199      18         20813367         20813377     0
   199      34         20813367         20813377     0
   199      50         20813367         20813377     0
   199       9         20813392         20813402     0
   199      25         20813392         20813402     0
   199      41         20813392         20813402     0
   199      57         20813392         20813402     0
   200       0         20813417         20813427     0
   200      16         20813417         20813427     0
   200      32         20813417         20813427     0
   200      48         20813417         20813427     0
   200       7         20813442         20813452     0
   200      23         20813442         20813452     0
   200      39         20813442         20813452     0
   200      55         20813442         20813452     0
   200      14         20813467         20813477     0
   200      30         20813467         20813477     0
   200      46         20813467         20813477     0
   200      62         20813467         20813477     0
   200       5         20813492         20813502     0
   200      21         20813492         20813502     0
   200      37         20813492         20813502     0
   200      53         20813492         20813502     0
   200      12         20813517         20813527     0
   200      28         20813517         20813527     0
   200      44         20813517         20813527     0
   200      60         20813517         20813527     0
   200       3         20813542         20813552     0
   200      19         20813542         20813552     0
   200      35         20813542         20813552     0
   200      51         20813542         20813552     0
   200      10         20813567         20813577     0
   200      26         20813567         20813577     0
   200      42         20813567         20813577     0
   200      58         20813567         20813577     0
   200       1         20813592         20813602     0
   200      17         20813592         20813602     0
   200      33         20813592         20813602     0
   200      49         20813592         20813602     0
   200       8         20813617         20813627     0
   200      24         20813617         20813627     0
   200      40         20813617         20813627     0
   200      56         20813617         20813627     0
   200      15         20813642         20813652     0
   200      31         20813642         20813652     0
   200      47         20813642         20813652     0
   200      63         20813642         20813652     0
   200       6         20813667         20813677     0
   200      22         20813667         20813677     0
   200      38         20813667         20813677     0
   200      54         20813667         20813677     0
   200      13         20813692         20813702     0
   200      29         20813692         20813702     0
   200      45         20813692         20813702     0
   200      61         20813692         20813702     0
   200       4         20813717         20813727     0
   200      20         20813717         20813727     0
   200      36         20813717         20813727     0
   200      52         20813717         20813727     0
   200      11         20813742         20813752     0
   200      27         20813742         20813752     0
   200      43         20813742         20813752     0
   200      59         20813742         20813752     0
   200       2         20813767         20813777     0
   200      18         20813767         20813777     0
   200      34         20813767         20813777     0
   200      50         20813767         20813777     0
   200       9         20813792         20813802     0
   200      25         20813792         20813802     0
   200      41         20813792         20813802     0
